symbol;name;sector;industry;weight;
DFS;Discover Financial Services;Financials;Consumer Finance;0.103555;
TRV;Travelers Companies Inc.;Financials;Property & Casualty Insurance;0.10395;
ROST;Ross Stores Inc.;Consumer Discretionary;Apparel Retail;0.104943;
HLT;Hilton Worldwide Holdings Inc;Consumer Discretionary;Hotels, Resorts & Cruise Lines;0.105644;
SIVB;SVB Financial Group;Financials;Regional Banks;0.105914;
CTSH;Cognizant Technology Solutions Corporation Class A;Information Technology;IT Consulting & Other Services;0.106128;
MSI;Motorola Solutions Inc.;Information Technology;Communications Equipment;0.106704;
SRE;Sempra Energy;Utilities;Multi-Utilities;0.10912;
MPC;Marathon Petroleum Corporation;Energy;Oil & Gas Refining & Marketing;0.109508;
DLR;Digital Realty Trust Inc.;Real Estate;Specialized REITs;0.109557;
BAX;Baxter International Inc.;Health Care;Health Care Equipment;0.10966;
FTNT;Fortinet Inc.;Information Technology;Systems Software;0.109774;
MCHP;Microchip Technology Incorporated;Information Technology;Semiconductors;0.110043;
EA;Electronic Arts Inc.;Communication Services;Interactive Home Entertainment;0.111229;
PXD;Pioneer Natural Resources Company;Energy;Oil & Gas Exploration & Production;0.112002;
SYY;Sysco Corporation;Consumer Staples;Food Distributors;0.112059;
AEP;American Electric Power Company Inc.;Utilities;Electric Utilities;0.112712;
CDNS;Cadence Design Systems Inc.;Information Technology;Application Software;0.112784;
BIIB;Biogen Inc.;Health Care;Biotechnology;0.113369;
PRU;Prudential Financial Inc.;Financials;Life & Health Insurance;0.113498;
ORLY;O'Reilly Automotive Inc.;Consumer Discretionary;Specialty Stores;0.113668;
TT;Trane Technologies plc;Industrials;Building Products;0.114372;
MAR;Marriott International Inc. Class A;Consumer Discretionary;Hotels, Resorts & Cruise Lines;0.11535;
MTCH;Match Group Inc.;Communication Services;Interactive Media & Services;0.116016;
APTV;Aptiv PLC;Consumer Discretionary;Auto Parts & Equipment;0.116021;
SLB;Schlumberger NV;Energy;Oil & Gas Equipment & Services;0.116053;
NEM;Newmont Corporation;Materials;Gold;0.116701;
SPG;Simon Property Group Inc.;Real Estate;Retail REITs;0.117133;
BK;Bank of New York Mellon Corporation;Financials;Asset Management & Custody Banks;0.117242;
DOW;Dow Inc.;Materials;Commodity Chemicals;0.119572;
TROW;T. Rowe Price Group;Financials;Asset Management & Custody Banks;0.120101;
KMB;Kimberly-Clark Corporation;Consumer Staples;Household Products;0.12053;
EBAY;eBay Inc.;Consumer Discretionary;Internet & Direct Marketing Retail;0.120985;
APH;Amphenol Corporation Class A;Information Technology;Electronic Components;0.121047;
