symbol,name,sector,weight
QCOM,Qualcomm Inc,Information Technology,0.390263
QRVO,Qorvo Inc.,Information Technology,0.050245
RCL,Royal Caribbean Group,Consumer Discretionary,0.05444
RE,Everest Re Group Ltd.,Financials,0.027989
REG,Regency Centers Corporation,Real Estate,0.028477
REGN,Regeneron Pharmaceuticals Inc.,Health Care,0.157078
RF,Regions Financial Corporation,Financials,0.056582
RHI,Robert Half International Inc.,Industrials,0.031599
RJF,Raymond James Financial Inc.,Financials,0.047553
RL,Ralph Lauren Corporation Class A,Consumer Discretionary,0.015728
RMD,ResMed Inc.,Health Care,0.101848
ROK,Rockwell Automation Inc.,Industrials,0.093907
ROL,Rollins Inc.,Industrials,0.02172
ROP,Roper Technologies Inc.,Industrials,0.12781
ROST,Ross Stores Inc.,Consumer Discretionary,0.104943
RSG,Republic Services Inc.,Industrials,0.069201
RTX,Raytheon Technologies Corporation,Industrials,0.362932
SBAC,SBA Communications Corp. Class A,Real Estate,0.098316
SBUX,Starbucks Corporation,Consumer Discretionary,0.354588
SCHW,Charles Schwab Corporation,Financials,0.309116
SEE,Sealed Air Corporation,Materials,0.023097
SHW,Sherwin-Williams Company,Materials,0.190744
SIVB,SVB Financial Group,Financials,0.105914
SJM,J.M. Smucker Company,Consumer Staples,0.035656
SLB,Schlumberger NV,Energy,0.116053
SNA,Snap-on Incorporated,Industrials,0.031574
SNPS,Synopsys Inc.,Information Technology,0.121419
SO,Southern Company,Utilities,0.178266
SPG,Simon Property Group Inc.,Real Estate,0.117133
SPGI,S&P Global Inc.,Financials,0.277933
SRE,Sempra Energy,Utilities,0.10912
STE,STERIS Plc,Health Care,0.055272
STT,State Street Corporation,Financials,0.087997
STX,Seagate Technology Holdings PLC,Information Technology,0.046336
STZ,Constellation Brands Inc. Class A,Consumer Staples,0.097248
SWK,Stanley Black & Decker Inc.,Industrials,0.07758
SWKS,Skyworks Solutions Inc.,Information Technology,0.071834
SYF,Synchrony Financial,Financials,0.077521
SYK,Stryker Corporation,Health Care,0.238998
SYY,Sysco Corporation,Consumer Staples,0.112059
T,AT&T Inc.,Communication Services,0.529773
TAP,Molson Coors Beverage Company Class B,Consumer Staples,0.024822
TDG,TransDigm Group Incorporated,Industrials,0.091645
TDY,Teledyne Technologies Incorporated,Industrials,0.054433
TECH,Bio-Techne Corporation,Health Care,0.051005
TEL,TE Connectivity Ltd.,Information Technology,0.127795
TER,Teradyne Inc.,Information Technology,0.046236
TFC,Truist Financial Corporation,Financials,0.218289
TFX,Teleflex Incorporated,Health Care,0.047924
TGT,Target Corporation,Consumer Discretionary,0.305416
TJX,TJX Companies Inc,Consumer Discretionary,0.213112
TMO,Thermo Fisher Scientific Inc.,Health Care,0.610377
TMUS,T-Mobile US Inc.,Communication Services,0.199545
TPR,Tapestry Inc.,Consumer Discretionary,0.029191
TRMB,Trimble Inc.,Information Technology,0.056456
TROW,T. Rowe Price Group,Financials,0.120101
